,Area,Perimeter,MajorAxisLength,MinorAxisLength,roundnes
146,35506,713.086,262.1062149,173.2478277,0.877460939
92,58961,936.527,363.145456,208.2099472,0.844761475
110,33605,687.194,259.0547378,165.8371507,0.894241964
33,139639,1379.183,473.7805979,376.5502411,0.922513655
73,56675,898.464,344.9441908,210.2250507,0.882266994
23,137748,1389.634,499.3705441,353.3013142,0.896384428
37,140867,1414.336,500.3077756,360.1775879,0.884940228
141,35291,723.178,276.2396963,163.1613077,0.847975719
5,129807,1356.314,493.241864,336.4648369,0.886722008
60,54137,905.416,356.3926718,195.4373656,0.829865519
85,58094,922.37,350.1062379,212.8556695,0.85808598
42,141953,1402.05,524.2311633,346.3974998,0.907459885
13,133760,1369.738,481.2607823,354.6256634,0.895903257
30,138777,1403.006,502.613464,353.8114117,0.885948143
2,126503,1326.959,475.7724586,339.3818868,0.902808585
58,53609,893.456,354.7254337,193.354325,0.843919906
114,33885,680.022,245.4253999,176.3160798,0.92081297
126,34668,704.917,268.2745335,166.9007759,0.876723572
16,135222,1371.667,495.1024098,348.7846686,0.9031499
74,56679,911.133,355.9458366,204.8914494,0.857962864
100,31519,676.641,255.0735621,157.80274,0.865098731
17,135403,1381.938,523.2554269,332.1957763,0.890965798
62,54680,899.793,353.5776383,198.3140946,0.848697943
65,55549,914.595,348.4861956,205.1891003,0.834504078
52,48373,825.148,313.570417,197.8987002,0.892789726
113,33739,686.903,255.8043441,168.5926382,0.898568612
149,35633,712.676,262.5884816,173.4937258,0.881612997
69,55972,897.386,342.4919163,208.7955762,0.873417943
103,33180,670.488,240.9695005,175.6450402,0.927479302
22,137518,1417.944,519.7799999,339.9302724,0.859510632
25,138059,1459.686,540.6778226,334.1664759,0.814246128
21,137358,1364.645,507.9858904,345.2228517,0.926881995
142,35380,697.382,255.5805925,176.7753124,0.914168443
145,35476,711.317,266.8508275,169.9283492,0.881085662
131,34892,710.337,273.7491085,163.0004469,0.868974144
129,34825,704.926,264.593648,168.2855608,0.880671477
27,138244,1395.699,510.6812515,346.6453918,0.891810581
28,138265,1396.139,512.8063507,345.1812989,0.891383938
45,142399,1430.275,524.5884123,347.2617724,0.874737426
116,34099,670.159,237.7722053,183.2249309,0.954104179
57,52448,882.474,336.9594211,199.0051127,0.84632069
136,35129,703.253,268.4473909,167.1702673,0.892590919
87,58252,950.381,363.1910348,208.034821,0.810448111
78,57391,921.48,362.5686078,203.7016423,0.849340491
130,34862,702.718,264.0184917,168.7377813,0.887156025
56,51643,855.523,307.9956112,213.6247263,0.886661697
55,50954,865.763,330.155474,198.4615253,0.854260064
138,35152,711.89,265.1925197,169.6885131,0.871633912
77,57017,903.261,355.3339372,205.4576502,0.878188425
90,58822,942.558,368.175038,206.6187731,0.832019458
1,117034,1265.926,425.9237875,351.2151089,0.917709597
10,132399,1335.884,486.8595673,346.5807118,0.93230298
88,58634,930.427,351.8374671,214.941906,0.851127803
63,55501,898.191,345.523159,207.0296994,0.864516475
124,34645,702.351,259.1623421,171.4586651,0.882555487
47,143603,1405.207,516.0199144,356.2938031,0.913887564
41,141850,1432.847,524.9234707,346.9109201,0.868239554
48,144058,1463.258,536.8875196,343.9628391,0.845484073
95,59183,934.857,353.5773491,214.6713018,0.850974353
108,33540,697.714,257.4891433,166.5592919,0.865800929
127,34717,700.168,262.5162029,168.8110526,0.889912971
40,141519,1442.904,523.1006681,347.0957926,0.854180672
34,139686,1402.293,508.6819485,350.946932,0.892658229
66,55608,918.716,348.4501558,205.4062325,0.827912767
93,59039,930.334,349.7941673,217.0338863,0.857178108
84,57907,915.319,360.6609553,206.6959192,0.868552301
139,35215,711.318,269.1178308,167.0956931,0.874600979
64,55544,924.19,357.6967019,198.2257211,0.817192715
135,35077,707.652,261.0852171,172.9925206,0.880223238
7,131249,996.3282980769231,521.1492464,323.7902564,0.872498937
118,34146,789.379,247.6608668,176.137973,0.688618305
123,34593,697.522,259.7300932,170.1627664,0.893474724
134,34990,700.748,257.018073,174.0215042,0.895426767
26,138114,1368.731,483.7173648,364.5190225,0.926427334
117,34112,693.8,258.1399044,168.6966258,0.890529798
11,132851,1369.46,511.9757505,333.4049732,0.89017622
54,49882,891.505,357.1890036,179.8346914,0.788689675
89,58740,942.69,370.6574503,204.0034152,0.830626927
106,33462,689.937,265.4699791,161.0284951,0.88337049
49,144079,1462.012,534.5994627,346.3307358,0.847049275
