Area,Perimeter,MajorAxisLength,MinorAxisLength,roundnes,Class
114004,1279.356,451.3612558,323.7479961,0.875280258,BOMBAY
117034,1265.926,425.9237875,351.2151089,0.917709597,BOMBAY
126503,1326.959,475.7724586,339.3818868,0.902808585,BOMBAY
128118,1360.135,504.0249642,,0.870273946,BOMBAY
129409,1348.888,484.364424,341.1726593,0.893763394,BOMBAY
129807,1356.314,493.241864,336.4648369,0.886722008,BOMBAY
130070,1362.228,486.7062302,343.114783,0.88082047,BOMBAY
131249,1374.898,521.1492464,323.7902564,0.872498937,BOMBAY
131488,1368.233,485.8925009,345.6212635,0.882624263,BOMBAY
132254,1358.189,497.7676684,339.6363418,0.900944965,BOMBAY
132399,1335.884,486.8595673,346.5807118,0.93230298,BOMBAY
132851,1369.46,511.9757505,333.4049732,0.89017622,BOMBAY
132889,1373.51,499.646493,339.9068395,0.885187446,BOMBAY
133760,1369.738,481.2607823,354.6256634,0.895903257,BOMBAY
134012,1385.807,517.7649124,331.9160237,0.876895924,BOMBAY
134251,1391.532,523.6290209,327.6755204,0.871246402,BOMBAY
135222,1371.667,495.1024098,348.7846686,0.9031499,BOMBAY
135403,1381.938,523.2554269,332.1957763,0.890965798,BOMBAY
135898,1385.644,509.4433176,341.4900636,0.889446024,BOMBAY
137075,1432.713,526.8980615,334.1175121,0.839169548,BOMBAY
137115,1427.056,519.1997446,337.4746463,0.846082671,BOMBAY
137358,1364.645,507.9858904,345.2228517,0.926881995,BOMBAY
137518,1417.944,519.7799999,339.9302724,0.859510632,BOMBAY
137748,1389.634,499.3705441,353.3013142,0.896384428,BOMBAY
137890,1410.302,522.1875739,338.3644715,0.871201054,BOMBAY
138059,1459.686,540.6778226,334.1664759,0.814246128,BOMBAY
138114,1368.731,483.7173648,364.5190225,0.926427334,BOMBAY
138244,1395.699,510.6812515,346.6453918,0.891810581,BOMBAY
138265,1396.139,512.8063507,345.1812989,0.891383938,BOMBAY
138659,1415.439,509.8275207,347.5854183,0.869712301,BOMBAY
138777,1403.006,502.613464,353.8114117,0.885948143,BOMBAY
138976,1404.377,509.4100768,351.6482864,0.885487134,BOMBAY
139523,1410.901,501.721529,354.9685707,0.880770149,BOMBAY
139639,1379.183,473.7805979,376.5502411,0.922513655,BOMBAY
139686,1402.293,508.6819485,350.946932,0.892658229,BOMBAY
139841,1430.241,524.8024563,341.3400849,0.859064827,BOMBAY
140313,1432.029,517.4259023,347.2543044,0.85981328,BOMBAY
140867,1414.336,500.3077756,360.1775879,0.884940228,BOMBAY
140964,1425.6,538.2389592,334.9105788,0.871611006,BOMBAY
141385,1429.427,525.900924,344.3551184,0.869539345,BOMBAY
141519,1442.904,523.1006681,347.0957926,0.854180672,BOMBAY
141850,1432.847,524.9234707,346.9109201,0.868239554,BOMBAY
141953,1402.05,524.2311633,346.3974998,0.907459885,BOMBAY
142154,1378.113,501.7293744,361.6697526,0.940587688,BOMBAY
142238,1425.362,516.4426267,351.4148645,0.879782154,BOMBAY
142399,1430.275,524.5884123,347.2617724,0.874737426,BOMBAY
142592,1408.745,519.7756355,351.2923849,0.90290124,BOMBAY
143603,1405.207,516.0199144,356.2938031,0.913887564,BOMBAY
144058,1463.258,536.8875196,343.9628391,0.845484073,BOMBAY
144079,1462.012,534.5994627,346.3307358,0.847049275,BOMBAY
45504,793.417,295.4698306,196.3118225,0.908356725,CALI
45666,789.77,274.8633573,211.8851392,0.920029115,CALI
48373,825.148,313.570417,197.8987002,0.892789726,CALI
49245,822.642,301.392791,208.3464437,0.914429543,CALI
49882,891.505,357.1890036,179.8346914,0.788689675,CALI
50954,865.763,330.155474,198.4615253,0.854260064,CALI
51643,855.523,307.9956112,213.6247263,0.886661697,CALI
52448,882.474,336.9594211,199.0051127,0.84632069,CALI
53609,893.456,354.7254337,193.354325,0.843919906,CALI
54076,893.989,342.7424247,203.259513,0.85025672,CALI
54137,905.416,356.3926718,195.4373656,0.829865519,CALI
54343,867.59,303.847956,228.0162327,0.907244614,CALI
54680,899.793,353.5776383,198.3140946,0.848697943,CALI
55501,898.191,345.523159,207.0296994,0.864516475,CALI
55544,924.19,357.6967019,198.2257211,0.817192715,CALI
55549,914.595,348.4861956,205.1891003,0.834504078,CALI
55608,918.716,348.4501558,205.4062325,0.827912767,CALI
55722,897.584,318.9323359,225.0086389,0.869133231,CALI
55938,909.933,347.2764794,205.5303842,0.848980993,CALI
55972,897.386,342.4919163,208.7955762,0.873417943,CALI
56270,920.481,374.09942,194.0923458,0.834559148,CALI
56376,921.455,350.6922928,205.3987297,0.834364582,CALI
56627,922.876,356.1840294,203.0456968,0.8355005,CALI
56675,898.464,344.9441908,210.2250507,0.882266994,CALI
56679,911.133,355.9458366,204.8914494,0.857962864,CALI
56834,910.081,341.5703246,212.3913014,0.862299217,CALI
57017,903.559,349.8119042,210.8011319,0.877609255,CALI
57017,903.261,355.3339372,205.4576502,0.878188425,CALI
57391,921.48,362.5686078,203.7016423,0.849340491,CALI
57549,929.955,362.9373998,204.5544341,0.836226215,CALI
57617,901.703,344.4109267,213.7818121,0.890499083,CALI
57786,916.524,331.8750114,224.9344364,0.864459823,CALI
57853,930.73,358.6434909,207.2421815,0.839244151,CALI
57862,951.333,372.4370305,201.9925213,0.803411754,CALI
57907,915.319,360.6609553,206.6959192,0.868552301,CALI
58094,922.37,350.1062379,212.8556695,0.85808598,CALI
58102,907.665,334.8035816,223.8662565,0.886236776,CALI
58252,950.381,363.1910348,208.034821,0.810448111,CALI
58634,930.427,351.8374671,214.941906,0.851127803,CALI
58740,942.69,370.6574503,204.0034152,0.830626927,CALI
58822,942.558,368.175038,206.6187731,0.832019458,CALI
58877,964.919,376.8503384,202.2688788,0.794646218,CALI
58961,936.527,363.145456,208.2099472,0.844761475,CALI
59039,930.334,349.7941673,217.0338863,0.857178108,CALI
59041,931.502,359.7792308,211.3235495,0.855058809,CALI
59183,934.857,353.5773491,214.6713018,0.850974353,CALI
